Jump 0.1492331
Run 0.1823179 -0.05024107
Run 0.1987041 -0.09939986
Run 0.2153059 -0.149205
Run 0.2318368 -0.198798
Run 0.2484897 -0.2487566
Run 0.2654634 -0.2996774
Run 0.2815371 -0.3478987
Run 0.2986258 -0.399165
Run 0.3146712 -0.4473011
Run 0.3316047 -0.4981018
Run 0.3478036 -0.5466984
Run 0.3646322 -0.5971842
Run 0.3816967 -0.6483777
Run 0.3977426 -0.6965156
Run 0.4140711 -0.7455007
Run 0.4307315 -0.7954822
Run 0.4472049 -0.8449024
Run 0.4637713 -0.8946015
Run 0.4807426 -0.9455152
Run 0.5116209 -1
Jump 1.09068
Run 1.39691 -0.9495791
Run 1.413237 0
Run 1.434321 0.06325126
Run 1.450888 0.1129547
Run 1.467968 0.164193
Run 1.48402 0.2123511
Run 1.500975 0.2632148
Run 1.518037 0.3144014
Run 1.534047 0.3624305
Run 1.550288 0.4111543
Run 1.567112 0.4616269
Run 1.583422 0.5105568
Run 1.60009 0.560561
Run 1.617127 0.6116695
Run 1.633164 0.6597828
Run 1.650257 0.7110597
Run 1.666278 0.7591239
Run 1.683271 0.8101035
Run 1.699388 0.8584536
Run 1.716365 0.9093841
Run 1.733445 0.9606241
Run 1.749474 1
Jump 1.832453
Jump 2.130121
Run 2.825921 0.9507403
Run 2.842534 0
Run 2.859573 -0.05111813
Run 2.87562 -0.09925954
Run 2.892632 -0.1502952
Run 2.908753 -0.1986585
Run 2.925634 -0.2493004
Run 2.942679 -0.3004343
Run 2.958674 -0.3484214
Run 2.975021 -0.39746
Run 2.991787 -0.4477589
Run 3.008154 -0.4968598
Run 3.024954 -0.5472597
Run 3.041287 -0.5962597
Run 3.058151 -0.6468499
Run 3.07442 -0.6956587
Run 3.090987 -0.7453595
Run 3.107838 -0.795911
Run 3.12412 -0.8447593
Run 3.140847 -0.8949399
Run 3.157254 -0.9441592
Run 3.173932 -0.9941933
Run 3.19094 -1
Run 3.584947 -0.9097258
Run 3.60167 -0.8595567
Run 3.618082 -0.8103216
Run 3.634801 -0.7601638
Run 3.651214 -0.7109252
Run 3.667881 -0.6609227
Run 3.684884 -0.6099133
Run 3.700915 -0.5618219
Jump 3.717851
Run 3.717851 0
Run 3.741669 0.07145346
Run 3.758236 0.121156
Run 3.774858 0.1710217
Run 3.79137 0.2205559
Run 3.807936 0.2702549
Run 3.824503 0.3199557
Run 3.841069 0.3696548
Run 3.857968 0.4203519
Run 3.874981 0.4713894
Run 3.90631 0.5653752
Run 3.922954 0.6153076
Run 3.939936 0.6662555
Run 3.95601 0.7144777
Run 3.972579 0.764182
Run 3.989964 0.8163368
Run 4.005712 0.8635818
Run 4.022277 0.9132783
Run 4.038844 0.9629782
Run 4.070435 1
